# image-id: battling-overlay
# annotated_functions/total_functions: 461/461
# Total basis: whole-image AOT range manifest, including authenticated overlapping roots. One supplementary call site is documented but excluded from the denominator.
# sha256: 3e6df915e9c7f05f5fb997cb331392f1333e867dfb2628cd65e5e1ea1575646e
# load-address: 0x8006faf0
# identity-source: annotations/overlays/disc1-images.toml
# source-record-id: battling-image
# format: address, note

0x800707A8, function start — BattlingTutorialReleaseOrTransition; schedules tutorial storage release and mode transition.
0x80087E38, function start — BattlingQueueEffectVertex; appends a bounded effect vertex.
0x80087EA0, function start — BattlingRenderQueuedEffectGeometry; transforms and emits queued effect geometry.
0x8008820C, function start — BattlingEffectPrimitiveAllocate; acquires a primitive from the fixed pool.
0x800882D4, function start — BattlingEffectPrimitiveAllocateWithLifetime; allocates a primitive with lifetime.
0x80088308, function start — BattlingClearActorSlotState; clears per-slot actor state.
0x8008832C, function start — BattlingEffectPrimitiveUpdateAndRender; updates lifetimes and emits primitives.
0x800884E0, function start — BattlingNormalizeAndTransformVector; normalizes and transforms a vector.
0x8008859C, function start — BattlingNormalizeLargeVectorToShort; rescales a vector by the square root of its largest absolute component and produces a normalized short vector.
0x80088658, function start — BattlingNormalizeVector; normalizes a packed vector.
0x800886FC, function start — BattlingVectorLength3D; returns the square root of the summed squared X Y and Z components.
0x80088754, function start — BattlingVectorLengthXZ; returns the square root of the summed squared X and Z components.
0x800887A4, function start — BattlingPointDistance3D; returns the three-dimensional distance between two points.
0x80088838, function start — BattlingPointDistanceXZ; returns the planar XZ distance between two points.
0x800888B0, function start — BattlingSetGearUnlocked; sets the selected Gear identifier in the persistent unlock bitmap.
0x800888E4, function start — BattlingIsGearUnlocked; tests the selected Gear identifier in the persistent unlock bitmap.
0x80088908, function start — BattlingClearAllocationBit; clears an allocation bitmap bit.
0x80088940, function start — BattlingSetAllocationHighFlag; sets the high allocation-state bit.
0x8008895C, function start — BattlingAppendCompletionBonusGear; appends the completion-only Gear once after the full-unlock flag becomes set.
0x800889C8, function start — BattlingCheckFullGearUnlock; verifies every required Gear unlock and sets completion state before appending the bonus Gear.
0x80088A40, function start — BattlingOptionsSave; packs the active controller vibration mode and arena settings into persistent Battling state.
0x80088AF8, function start — BattlingOptionsLoad; decodes persisted settings or restores defaults.
0x80088BD4, function start — BattlingUnlockGearAndCheckCompletion; unlocks one Gear and reevaluates the full-roster completion reward.
0x80088C00, function start — BattlingVsyncCallback; samples VSync into frame timing.
0x80088C28, function start — BattlingHeapDebugPageUpdate; changes and prints the heap-debug page.
0x80088CBC, function start — BattlingDisplayBufferPacketInitialize; initializes a display-buffer sprite.
0x80088D1C, function start — BattlingSystemInitialize; initializes callbacks, geometry, font, heap, and rendering.
0x80088E90, function start — BattlingMain; runs the authenticated state-4 render and timing loop.
0x80089000, call site — invokes the optional per-frame Battling callback.
0x800891C0, function start — BattlingArchiveLoadAlloc; allocates and starts one archive load.
0x80089210, function start — BattlingScaleProjectionForViewport; copies the default projection transforms and rescales their principal coefficients for the requested dimensions.
0x80089330, function start — BattlingDisplayEnvironmentsInitialize; configures paired display environments and display-area commands then stores dimensions and refreshes projection scaling.
0x80089534, function start — BattlingDrawEnvironmentsInitialize; centers geometry projection and configures paired draw environments with texture-page and drawing-area commands.
0x800896C4, function start — BattlingApplyViewportAndCamera; configures viewport and camera transform.
0x8008973C, function start — BattlingApplyCurrentCamera; applies current camera coordinates.
0x8008976C, function start — BattlingViewportInitialize; initializes matching display and draw environments for the requested viewport.
0x800897AC, function start — BattlingInitializeScreenPrimitive; initializes screen coordinates and shading.
0x800898BC, function start — BattlingBuildLookAtTransform; constructs an orthonormal view transform from eye target and up vectors then applies projection and negated view translation.
0x80089A98, function start — BattlingApplyCameraLookAtTransform; stores the camera focus origin and writes the active view transform from camera and focus positions.
0x80089B44, function start — BattlingRenderNodeInitialize; clears payload links flags and offsets then installs identity local composed and cached transforms.
0x80089C54, function start — BattlingRenderNodeAllocate; allocates and initializes one render node.
0x80089C88, function start — BattlingRenderNodeAppendChild; assigns a parent and appends a child at the end of its sibling chain.
0x80089CD8, function start — BattlingUnlinkResourceNode; removes a node from an intrusive list.
0x80089D5C, function start — BattlingRenderTreeFree; recursively releases child and sibling branches with payload-specific cleanup before freeing each node.
0x80089E2C, function start — BattlingRenderNodeSetModelPayload; assigns model payload and selects model-rendering behavior.
0x80089E3C, function start — BattlingSetResourceState3; sets descriptor state 3.
0x80089E48, function start — BattlingSetResourceState4; sets descriptor state 4.
0x80089E54, function start — BattlingRenderNodeSetGroupPayload; assigns grouped hierarchy payload and selects transform-group behavior.
0x80089E64, function start — BattlingRenderNodeSetLightPayload; assigns directional-light payload and selects light-node behavior.
0x80089E74, function start — BattlingModelGroupAllocate; allocates empty grouped-model state with unit scale and cleared node and animation storage.
0x80089EB4, function start — BattlingModelGroupContentsFree; frees node-pointer storage and every owned animation payload before releasing the animation table.
0x80089F8C, function start — BattlingModelInstanceInitialize; clears deformation and packet-buffer state then selects default rendering mode and neutral gray color.
0x80089FC4, function start — BattlingModelInstanceAllocate; allocates and initializes one model instance.
0x80089FF8, function start — BattlingModelInstanceContentsFree; schedules packet storage for release and frees lighting data owned by the model.
0x8008A040, function start — BattlingPackedImagesLoadWithOffsets; uploads a packed image set using independently enabled primary and secondary VRAM offsets.
0x8008A0B4, function start — BattlingEnablePrimitiveColor; sets RGB and enables color processing.
0x8008A0F4, function start — BattlingDisablePrimitiveColor; disables color processing.
0x8008A110, function start — BattlingSetPrimaryImageOffset; stores the primary packed-image VRAM offset.
0x8008A128, function start — BattlingSetSecondaryImageOffset; stores the secondary packed-image VRAM offset.
0x8008A140, function start — BattlingSetPackedImageOffsets; stores both packed-image VRAM offsets in one operation.
0x8008A168, function start — BattlingDisablePackedImageOffsets; disables both packed-image offset overrides.
0x8008A184, function start — BattlingModelInstanceBuildPackets; creates deformation storage and double-buffered packets then applies texture overrides and marks the model ready.
0x8008A254, function start — BattlingDirectionalLightAllocate; allocates a directional light with a small default direction and zero color.
0x8008A298, function start — BattlingFreePrimitiveObject; releases a primitive allocation.
0x8008A2B8, function start — BattlingOrderingTableContextAllocate; allocates double-buffered ordering tables and initializes their terminal cursors and depth shift.
0x8008A3A0, function start — BattlingNoOpPrimitiveCallback; intentional empty primitive callback.
0x8008A3A8, function start — BattlingOrderingTableContextFree; schedules ordering-table storage for release and frees its context.
0x8008A3E0, function start — BattlingDrawObjectCreate; allocates draw state with a root and three light nodes then configures and installs the default lights.
0x8008A5BC, function start — BattlingDrawObjectFree; frees three buffered allocations then releases the primitive resource and owning allocation.
0x8008A618, function start — BattlingEnableDrawObject; enables shared draw-object state.
0x8008A62C, function start — BattlingDisableModelBackColorOverride; prevents subsequent model packets from changing the current back color.
0x8008A63C, function start — BattlingRenderModelPacket; optionally selects a packet-specific back color then renders into the active ordering table.
0x8008A6F8, function start — BattlingApplyDrawEnvironment; installs the active draw environment.
0x8008A78C, function start — BattlingRelinkModelPacketsToOrderingTable; redirects every active-buffer packet tag to the current ordering-table head.
0x8008A7E0, function start — BattlingRenderModelHierarchy; invokes callbacks then updates transforms and renders eligible entries before recursively processing linked branches.
0x8008ABAC, function start — BattlingInstallThreeDirectionalLights; installs three indexed directional lights from their current definitions.
0x8008AC0C, function start — BattlingOrderingTableBegin; clears the active ordering table and records its head and packet mode.
0x8008AC7C, function start — BattlingScheduleOrderingTableRepair; records the packet source for the next ordering-table repair pass.
0x8008AC8C, function start — BattlingOrderingTableTimerStart; captures the root-counter value used to bound ordering-table repair work.
0x8008ACB8, function start — BattlingRepairOrderingTableChainsWithinBudget; reconnects empty packet chains to preceding nonempty tags until the timing budget expires.
0x8008AE1C, function start — BattlingSubmitOrderingTableAndEnvironments; queues the active ordering table and all enabled environment packets for drawing.
0x8008AF6C, function start — BattlingRelocateAnimationArchive; rebases embedded archive pointers and fixes optional primitive data after loading.
0x8008B070, function start — BattlingLoadAndParseAnimation; loads and parses animation data.
0x8008B0D8, function start — BattlingAnimationStateReset; clears playback progress and initializes every animated channel from its starting value.
0x8008B13C, function start — BattlingAnimationClipParse; allocates channel state and binds encoded tracks to their destination transform components.
0x8008B38C, function start — BattlingModelHierarchyBuild; creates the transform hierarchy and parses all attached animation clips.
0x8008B5DC, function start — BattlingAdvanceAnimationOnce; advances one animation step.
0x8008B5FC, function start — BattlingInterpolateWrappedAngle; moves a wrapped 12-bit angle toward its target by a specified remaining-step divisor.
0x8008B650, function start — BattlingStepWrappedAngle; advances a wrapped 12-bit angle along the shortest path without overshooting its target.
0x8008B730, function start — BattlingAnimationAdvance; decodes track commands then advances and blends animated channels while reporting completion.
0x8008BA2C, function start — BattlingTaskContextCreate; creates a saved-register task context.
0x8008BAE0, function start — BattlingFreeTaskContext; frees a task context.
0x8008BB00, function start — BattlingReadSavedTaskRegisters; copies saved registers to output.
0x8008BB1C, function start — BattlingWriteSavedTaskRegisters; installs saved task registers.
0x8008BB3C, function start — BattlingTaskContextSwitch; saves the suspended execution state and transfers execution to a complete saved task context.
0x8008BC04, function start — BattlingTaskContextYield; saves the active task context and restores the previously suspended execution state.
0x8008BCC8, function start — BattlingProjectVerticesOntoGroundPlane; transforms the projection origin and projects indexed vertices onto the zero-height plane.
0x8008BD70, function start — BattlingRenderMeshGroups; traverses triangle and quad groups and emits their visible primitives into the active ordering table.
0x8008BE4C, function start — BattlingMeshRendererInitialize; counts mesh primitives then allocates and initializes both buffered packet streams.
0x8008C0BC, function start — BattlingAttachHierarchyPayload; marks a hierarchy entry as renderable and attaches its payload.
0x8008C0CC, function start — BattlingHierarchyPayloadCreate; allocates a payload that links source data with the active resource context.
0x8008C120, function start — BattlingHierarchyPayloadFree; releases buffered mesh packets and the payload that owns them.
0x8008C188, function start — BattlingModelHierarchyBuildRecursive; creates one hierarchy entry then recursively builds its child and sibling branches.
0x8008C298, function start — BattlingModelHierarchyBuildFromRoot; resets the entry count and constructs a hierarchy from the supplied root.
0x8008C2C0, function start — BattlingModelHierarchyLoad; selects the active resource context and builds its render hierarchy.
0x8008C2E8, function start — BattlingModelHierarchyRender; renders visible mesh payloads while recursively traversing child and sibling branches.
0x8008C3A8, function start — BattlingProjectGroundPlaneVertices; transforms each source vertex and computes its perspective intersection with the ground plane.
0x8008C498, function start — BattlingProjectGroundPlaneVerticesParallelContinue; skips output for a parallel projection ray and continues with the remaining vertices.
0x8008C4B0, function start — BattlingRenderIndexedTriangles; transforms and culls indexed triangles then links visible packets into the ordering table.
0x8008C620, function start — BattlingRenderIndexedQuads; transforms and culls indexed quads then links visible packets into the ordering table.
0x8008C7C0, function start — BattlingParticleType0AdvanceVertices; advances type-0 vertex history.
0x8008C828, function start — BattlingParticleType0PacketInitialize; initializes a type-0 packet.
0x8008C8B4, function start — BattlingParticleType0Render; transforms and emits a type-0 particle.
0x8008C9B8, function start — BattlingParticleType1AdvanceVertices; advances type-1 vertex history.
0x8008CA00, function start — BattlingParticleType1PacketInitialize; initializes a type-1 packet.
0x8008CA84, function start — BattlingParticleType1Render; transforms and emits a type-1 particle.
0x8008CC2C, function start — BattlingParticleType2AdvanceVertices; advances type-2 vertex history.
0x8008CC54, function start — BattlingParticleType2PacketInitialize; initializes a type-2 packet.
0x8008CCB0, function start — BattlingParticleType2Render; transforms and emits a type-2 particle.
0x8008CD54, function start — BattlingParticleType3AdvanceVerticesNoOp; intentional type-3 no-op callback.
0x8008CD5C, function start — BattlingParticleType3PacketInitialize; initializes a randomized type-3 packet.
0x8008CE0C, function start — BattlingParticleType3Render; transforms and emits a type-3 particle.
0x8008CE10, function start — BattlingParticleType3RenderContinue; continues after source-register setup by transforming the particle and linking its active packet into a depth bucket.
0x8008CED4, function start — BattlingParticleType4AdvanceVerticesNoOp; intentional type-4 no-op callback.
0x8008CEDC, function start — BattlingParticleType4PacketInitialize; initializes a type-4 packet.
0x8008CF30, function start — BattlingParticleType4Render; transforms and emits a type-4 particle.
0x8008CF9C, function start — BattlingParticleCopyPosition; copies current particle position.
0x8008CFC4, function start — BattlingParticleRandomDirectionInitialize; initializes randomized direction.
0x8008D0A4, function start — BattlingParticleRandomPositionInitialize; initializes randomized position.
0x8008D14C, function start — BattlingParticlePlanarRandomInitialize; initializes planar random position.
0x8008D208, function start — BattlingParticleSphericalRandomInitialize; initializes spherical random position.
0x8008D304, function start — BattlingParticleAngularRandomInitialize; initializes position from angle and spread.
0x8008D3F4, function start — BattlingParticleEmitterCreate; creates an emitter and selects callbacks.
0x8008D580, function start — BattlingParticleEmitterDeactivateAll; clears the lifetime of every particle slot owned by an emitter.
0x8008D5C0, function start — BattlingParticleEmitterResize; reallocates emitter particle slots.
0x8008D680, function start — BattlingParticleEmitterSpawn; generates and activates particle slots.
0x8008D980, function start — BattlingParticleBounceUpdate; applies vertical motion and bounce damping.
0x8008D9F0, function start — BattlingParticleSettleUpdate; damps and disables settled particles.
0x8008DA48, function start — BattlingParticleEmitterUpdateAndRender; advances and renders particles.
0x8008DBC0, function start — BattlingCopyParticleFrameData; copies one particle-frame transform.
0x8008DBD8, function start — BattlingCopyParticleFrameDataContinue; continues after frame selection by copying the selected eight-word transform to the destination.
0x8008DC28, function start — BattlingCreateParticleEmitterType1; creates a type-1 emitter.
0x8008DCA8, function start — BattlingSetParticleSpawnAccumulator; sets the shared accumulator that gates particle spawning and determines its count.
0x8008DCB8, function start — BattlingParticleEmitterTransformAndRender; spawns, transforms, and renders an emitter.
0x8008DDFC, function start — BattlingScaleVectorByGte; scales a vector using current GTE state.
0x8008DE54, function start — BattlingTransformParticlePrimitive; transforms and depth-sorts a particle.
0x8008DF30, function start — BattlingFluidBuffersReset; clears simulation buffer pointers.
0x8008DF50, function start — BattlingFluidBuffersInitialize; allocates and clears simulation grids.
0x8008E064, function start — BattlingFluidBuffersRelease; delayed-frees all allocated fluid buffers and clears their pointers.
0x8008E0C8, function start — BattlingFluidSimulationCommitFrame; copies the updated grid into history and packs its samples into the texture buffer.
0x8008E120, function start — BattlingFluidSimulationUpdate; applies impulses and neighbor averaging.
0x8008E2B8, function start — BattlingDrawFullscreenTint; emits a full-screen monochrome tile with the selected transparency blend mode.
0x8008E3CC, function start — BattlingRenderFluidTextureOverlay; uploads the packed fluid image and emits an intensity-modulated textured overlay with optional bright tint.
0x8008E620, function start — BattlingVibrationInitialize; stops active sound voices and resets four vibration channels with escalating intensity scales.
0x8008E67C, function start — BattlingSpatialSoundAgesAdvance; increments the replacement ages of all initialized spatial sound channels.
0x8008E6F8, function start — BattlingActorSoundMapSelect; selects the sound-remapping table associated with the fighter identifier.
0x8008E78C, function start — BattlingSpatialSoundStart; reserves or replaces a spatial sound channel and starts immediate playback when requested.
0x8008E8B0, function start — BattlingSpatialSoundsUpdate; projects active sound positions and updates their distance attenuation and stereo panning.
0x8008EADC, function start — BattlingVibrationUpdate; updates four vibration channels.
0x8008EB4C, function start — BattlingPlaySoundEffect; dispatches a nonzero sound effect.
0x8008EB88, function start — BattlingActorSoundEffectStart; starts a nonzero positioned sound effect with the fighter-side tag.
0x8008EBD0, function start — BattlingMappedActorSoundStart; resolves a logical sound selection and starts up to two mapped positioned effects.
0x8008ECEC, function start — BattlingTaggedSpatialSoundsStop; stops every active spatial sound carrying the requested tag.
0x8008ED6C, function start — BattlingMappedActorSoundStop; resolves a logical sound selection and stops both mapped effects for the fighter side.
0x8008EE1C, function start — BattlingAiSteeringApply; accelerates or decelerates movement and turns the heading toward the requested direction.
0x8008EF00, function start — BattlingPracticeConditionalActionQueue; conditionally queues the facing-dependent action and sets a sixty-frame delay.
0x8008EF30, function start — BattlingPracticeRandomBasicActionsQueue; queues one to three randomized basic actions and selects a short or long delay.
0x8008EF74, function start — BattlingPracticeActionThreeQueue; queues action three and sets a sixty-frame delay.
0x8008EFA8, function start — BattlingPracticeMovementToggle; toggles automated movement and selects the corresponding update delay.
0x8008F014, function start — BattlingPracticeActionsFourAndThreeQueue; queues actions four and three and sets a sixty-frame delay.
0x8008F060, function start — BattlingPracticeActionFourQueue; queues action four and sets a sixty-frame delay.
0x8008F094, function start — BattlingPracticeNearRangeMovementUpdate; periodically chooses a full-speed heading while nearby and stops when outside range.
0x8008F17C, function start — BattlingPracticeFarRangeMovementUpdate; periodically chooses a full-speed heading while separated and stops at very close range.
0x8008F260, function start — BattlingPracticeContinueAsComAi; installs the requested difficulty and continues through the COM decision update.
0x8008F280, function start — BattlingPracticeAiUpdate; dispatches selected practice AI behavior.
0x8008F4F4, function start — BattlingHealthAboveFractionTest; tests whether current health exceeds a requested fraction of maximum health.
0x8008F530, function start — BattlingHeatIncreaseSafetyTest; tests whether the next heat increase avoids overload or leaves enough health to survive it.
0x8008F570, function start — BattlingHeatSafeLimitCompute; returns the maximum current heat that permits the standard heat increase without overload.
0x8008F580, function start — BattlingHeatRiskClassify; classifies current heat as safe or one of two increasing overload-risk levels.
0x8008F5B4, function start — BattlingAiAttackDecisionEvaluate; probabilistically approves an attack from heat safety and both fighters' health and activity.
0x8008F720, function start — BattlingAiEngagementDecisionEvaluate; chooses whether to engage from distance and heat risk with difficulty-weighted randomness.
0x8008F7B8, function start — BattlingAiTacticalFlagsRandomize; randomizes tactical behavior flags and snapshots the current successful-hit count.
0x8008F900, function start — BattlingAiBurstActionsQueue; conditionally queues a randomized burst action sequence for the current combat modes.
0x8008F9B0, function start — BattlingActorOutOfBoundsOrDisabled; tests arena bounds and disabled state.
0x8008FA2C, function start — BattlingAiBoundaryReturnHeadingSet; computes an inward recovery heading and enables full-speed movement.
0x8008FACC, function start — BattlingAiBoundaryRecoveryUpdate; detects out-of-bounds fighters and overrides heading speed and boost state for recovery.
0x8008FBD8, function start — BattlingAiPendingActionsInterrupt; clears pending actions and enables the movement override at a difficulty-dependent cadence.
0x8008FC7C, function start — BattlingComAiIdleStateEnter; enters idle state with a difficulty-scaled delay and refreshed tactical flags.
0x8008FCC8, function start — BattlingComAiIdleStateUpdate; waits defensively while reacting to proximity boundaries and attack opportunities before advancing state.
0x8008FE80, function start — BattlingAiRandomBasicBurstQueue; queues one to three randomly selected basic actions.
0x8008FF24, function start — BattlingAiBasicBurstRefresh; queues the next basic burst or a situational counter and refreshes its difficulty-scaled delay.
0x8008FFEC, function start — BattlingAiAvailableSpecialQueue; chooses an available special action and queues its associated command sequence.
0x80090174, function start — BattlingComAiAttackStateEnter; enters attack state with an initial burst and a difficulty-scaled repetition count.
0x80090258, function start — BattlingAiAttackSequenceChoose; chooses between a burst combo and an available special sequence from range and attack viability.
0x8009031C, function start — BattlingComAiAttackStateUpdate; executes timed attacks and probabilistically transitions among idle approach and retreat behavior.
0x80090504, function start — BattlingComAiApproachStateEnter; enters approach state with randomized duration engagement and tactical flags.
0x80090580, function start — BattlingComAiApproachStateUpdate; closes distance while reacting to attacks heat boundaries and close-range opportunities.
0x80090894, function start — BattlingComAiRetreatStateEnter; enters retreat state with a randomized target distance duration and tactical flags.
0x80090990, function start — BattlingComAiRetreatStateUpdate; maintains separation while reacting to attacks and transitions after reaching the chosen distance.
0x80090C88, function start — BattlingComAiTuningLoad; loads the four fighter-specific decision weights used by COM behavior.
0x80090CC0, function start — BattlingComAiInitialize; initializes side-specific COM state heat limits difficulty tuning and a randomized starting behavior.
0x80090E10, function start — BattlingComAiUpdate; dispatches COM strategy, movement, and actions.
