# field-overlay
# annotated_functions/total_functions: 396/651
# Total basis: union of Ghidra functions and recovered callbacks/entries.
# image-id: field-overlay
# sha256: 920a3e20ccc5d8aae32225c272066e819c427b566b2274df60b182e1265f04dd
# load-address: 0x8006f000
# identity-source: native_renderer/xg_render_manifest.toml
# source-record-id: field-image
# Semantic sources: Ghidra field_module.exe
# Format: address, typed note

0x8009DA44, function start — FieldScriptVMHandlerEnableDialogActivation; enables dialog.
0x8009DA70, function start — FieldScriptSetActorFlag16; sets unresolved actor script flag 16.
0x8009DA98, function start — FieldScriptClearActorFlag16; clears unresolved actor script flag 16.
0x8009DAC4, function start — FieldScriptDisableAndHideActorVM; disables, hides, and closes actor dialogue.
0x8009DBC8, function start — FieldScriptVMHandlerEnableActorVM; enables an actor VM.
0x8009DC4C, function start — FieldScriptStopAndDisableActorVM; stops movement and disables actor VM state.
0x8009DD34, function start — FieldScriptVMHandlerSleep; sleeps the Field script VM.
0x8009DDEC, function start — FieldScriptVMHandlerShowActorById; shows an actor by ID.
0x8009DE94, function start — FieldScriptVMHandlerHideActorById; hides an actor by ID.
0x8009DF10, function start — FieldScriptVMHandlerShowActor; shows the current actor.
0x8009DF78, function start — FieldScriptSetActorFlags02000800ById; sets actor flags 0x02000000 and 0x800 by ID.
0x8009E014, function start — FieldScriptSetCurrentActorFlags02000800; sets flags 0x02000000 and 0x800 on the current actor.
0x8009E040, function start — FieldScriptVMHandlerHideActor; hides the current actor.
0x8009E094, function start — FieldScriptSetActorMoveSpeed; writes and propagates actor movement speed.
0x8009E10C, function start — FieldScriptSetCurrentActorFlags; decodes a script mask into current-actor flags.
0x8009E1A0, function start — FieldScriptSetActorLowFlagsFromPackedByte; replaces low actor flags from a packed byte.
0x8009E208, function start — FieldScriptResetUnknownVerticalState; resets unresolved vertical state at the current Y position.
0x8009E248, function start — FieldScriptApplyThreeImmediateCoordinates; applies three immediate actor coordinates.
0x8009E2C8, function start — FieldScriptApplySingleCoordinate; applies one evaluated actor coordinate.
0x8009E330, function start — FieldScriptReadS16Absolute; reads a script halfword at an absolute offset.
0x8009E35C, function start — FieldScriptSetWalkmeshAndCoordinates; assigns walkmesh and evaluated actor coordinates.
0x8009E428, function start — FieldScriptSetWalkmeshAtCurrentPosition; changes walkmesh at the actor's current position.
0x8009E4BC, function start — FieldScriptSetCoordinatesAndClearMovementState; applies coordinates and clears movement state.
0x8009E83C, function start — FieldScriptSetActorCollisionDimensions; sets actor collision bounds.
0x8009E91C, function start — FieldScriptSetupMovementBoundingZone; allocates and loads four movement-boundary vertices.
0x8009EB48, function start — FieldActorGetScriptStatus; returns actor script status.
0x8009EB78, function start — FieldScriptStartActorScript; starts a target actor script without waiting.
0x8009ED68, function start — FieldScriptStartActorScriptAndWait; starts and waits for actor script completion.
0x8009F0A0, function start — FieldScriptStartActorScriptAndWaitExtended; extended start/wait state machine.
0x8009F424, function start — FieldScriptRandomTurn; periodically selects a random turn.
0x8009F4CC, function start — FieldScriptRandomTurnWithSpecialDirection; handles signed random turns.
0x8009F5A8, function start — FieldScriptTriggerEncounterPreserveIP; triggers an encounter while preserving VM IP.
0x8009FA00, function start — FieldCharacterIdToPartyId; maps character ID to party ID.
0x8009FB98, function start — FieldScriptSwitchMapToGears; synchronizes assets and marks the Field map for Gear mode.
0x8009FC10, function start — FieldActorIndexToPartySlot; maps an actor index to a party slot.
0x8009FC48, function start — FieldScriptPartyMemberRideGear; mounts a party member in Gear.
0x8009FCAC, function start — FieldScriptPartyMemberDisembarkGear; disembarks a party member.
0x8009FD10, function start — FieldWritePartyMapState; writes a party member map-state triplet.
0x800A0158, function start — FieldReadPartyMapState; reads a party member map-state triplet.
0x800A0D3C, function start — FieldScriptInitializeActorSprite; creates and initializes actor sprite state.
0x800A1730, function start — FieldScriptCallRelative5; pushes IP+5 and calls a relative script routine.
0x800A17F4, function start — FieldScriptCallRelative3; pushes IP+3 and calls a relative script routine.
0x800A18B8, function start — FieldScriptReturn; pops the Field script call stack.
0x800A19B0, function start — FieldScriptInitializeActorScripts; resets all actor script slots.
0x800A1A8C, function start — FieldScriptStopAndRedirectWaiters; redirects waiters before stopping.
0x800A1B70, function start — FieldScriptStop; stops or yields the current Field script.
0x800A1BD0, function start — FieldScriptVMHandlerConditionalJmp; conditional VM jump handler.
0x800A1E74, function start — FieldScriptVMHandlerJmp; unconditional VM jump handler.
0x800A1E9C, function start — FieldScriptYield32; adds 32 instructions to the VM budget and yields.
0x800A1EC8, function start — FieldScriptVMRun; executes the Field script VM.
0x800A1F68, instruction site — resolves the current opcode handler from the dispatch table.
0x800A1F70, call site — Field script VM indirect opcode-handler dispatch through the base table.
0x800A1F78, instruction site — resumes after opcode dispatch and checks script completion conditions.
0x800A2250, call site — entity script scheduler invokes FieldScriptVMRun with an eight-cycle budget.
0x800A2258, instruction site — resumes actor updating and persists the resulting VM program counter.
0x800A22AC, function start — FieldRunEntryActorScript; runs an entry actor script with temporary reset state.
0x800A2714, function start — FieldFinalizeActorAnimationLoads; attaches loaded animations and transforms.
0x800A2FC0, function start — FieldScriptVMHandlerNop; Field script no-op handler.
0x800A2FE0, function start — FieldScriptVMGetVariableSign; gets a script-variable sign.
0x800A3018, function start — FieldScriptVMGetVariableValue; reads a Field script variable.
0x800A3074, function start — FieldScriptMemoryWriteU16; writes a 16-bit script-memory value.
0x800A3090, function start — FieldScriptGetBytecodeOffset; resolves a bytecode offset.
0x800A30B4, function start — FieldScriptWritePartyMemberIDs; writes party IDs to script state.
0x800A4748, function start — FieldMoveDisplayImageDefault; moves the display image to the default destination.
0x800A476C, function start — FieldMoveDisplayImage; moves the 320x224 display image and synchronizes.
0x800A47D4, function start — FieldDistortionFree; frees Field distortion resources.
0x800A484C, function start — FieldDistortionInitialize; initializes Field distortion.
0x800A4CC4, function start — FieldDistortionSetTarget; sets the Field distortion target.
0x800A4DAC, function start — FieldDistortionDraw; renders Field distortion.
0x800A5600, function start — FieldZoomSetNextContextColor; sets RGB on next-context zoom polygons.
0x800A5694, instruction site — commits the authenticated Field zoom RGB update.
0x800A56A8, function start — FieldFadeFromWhite; initializes a white fade with negative deltas.
0x800A5710, function start — FieldFadeFromBlack; initializes a black fade with positive deltas.
0x800A5774, function start — FieldSetVramStpBits; sets bit 15 across a VRAM strip.
0x800A5884, function start — FieldPrepareZoomFadeImage; prepares zoom packets and VRAM strips.
0x800A6408, function start — FieldZoomFadeEffectUpdate; updates and emits the Field zoom/fade effect.
0x800A6490, instruction site — native Field zoom substitution seam within function 0x800A6408.
0x800A663C, function start — FieldZoomFadeEffectInitialize; initializes Field zoom/fade packets.
0x800A6884, instruction site — Field zoom template writer within initializer 0x800A663C.
0x800A68F0, instruction site — Field zoom initializer commit/epilogue seam.
0x800A6924, function start — FieldDisplay; finalizes Field display output.
0x800A7744, function start — FieldImageConvert24BitColorTo15Bit; converts one color.
0x800A77C4, function start — FieldImageConvert24BitTo15Bit; converts image pixels.
0x800A8EAC, function start — FieldInitializeParticlePrimitive; initializes one particle primitive.
0x800A915C, function start — FieldBackupVramRegion; lazily captures a fixed VRAM strip into a backup buffer.
0x800A9274, function start — FieldInitializeParticles; initializes the Field particle system.
0x800A92AC, function start — FieldParticlesFree; frees Field particles.
0x800A9374, function start — FieldParticlesStop; stops Field particles.
0x800A93CC, function start — FieldParticlesStopBanks; stops Field particle banks.
0x800A9460, function start — FieldParticlesFreeAll; frees all Field particles.
0x800A94A4, function start — FieldInitializeDefaultParticleBanks; initializes default particle banks.
0x800A9688, function start — FieldParticlesTickAndRender; updates and renders Field particles.
0x800A987C, function start — FieldParticlesRandRange; returns a particle random range value.
0x800A98B4, function start — FieldParticlesFindFreeIndex; finds a free particle slot.
0x800A98E8, function start — FieldParticleActorStop; stops an actor particle effect.
0x800A99A8, function start — FieldInitializeParticleBanks; initializes particle banks.
0x800A9B1C, function start — FieldParticleUpdateColor; updates particle color.
0x800A9B54, function start — FieldParticleRender; renders a Field particle.
0x800A9F18, function start — FieldParticleUpdateAndRender; updates and renders one particle.
0x800AA6B4, function start — FieldParticleStart; starts a Field particle effect.
0x800AAA74, function start — FieldObjectOcclusionCull; tests Field object screen visibility.
0x800AAB64, instruction site — Field object occlusion top-edge test.
0x800AAB74, instruction site — Field object occlusion bottom-edge test.
0x800AAB90, instruction site — Field object occlusion right-edge bias.
0x800AABA0, instruction site — Field object occlusion left-edge bias.
0x800AABD8, function start — FieldScriptSpriteListFree; frees the script sprite list.
0x800AAC08, function start — FieldScriptSpriteListInitialize; allocates and initializes script sprites.
0x800AADC8, function start — FieldScriptSpriteSetColor; sets both sprite-context colors.
0x800AAE4C, function start — FieldScriptSpriteDraw; positions and queues a script sprite.
0x800AAF80, function start — FieldMapOverlayPrimitivesInitialize; initializes the general Field map-overlay UI primitives.
0x800AB378, function start — FieldMapOverlayDraw; draws the general Field map-overlay UI.
0x800ABD18, function start — FieldFullscreenStripPrimitivesInitialize; initializes fullscreen sprite strips.
0x800ABEC8, function start — FieldFullscreenStripDraw; draws active fullscreen sprite strips.
0x800ACD7C, function start — FieldScriptVMGetInstructionArgumentS16; reads a signed VM argument.
0x800ACDB8, function start — FieldScriptVMGetInstructionArgument; reads a VM instruction argument.
0x800ACDEC, function start — FieldScriptVMGetArgument; resolves a Field VM argument.
